P_max,C_mean,C_std,C_smoothed
0.1,0.8472031223830697,0.3319980956501973,0.850603218604342
0.395,0.8386132869921429,0.3042408633396129,0.8486319038737813
0.69,0.8795673767540721,0.4622314115025752,0.8428853863161022
0.985,0.9043404974424565,0.3063704337205209,0.8334297100874115
1.28,0.7094028866316567,0.31962513152450067,0.8249010835330989
1.575,0.8299186019580105,0.4013928966815258,0.8241158445579384
1.87,0.7669665539372449,0.3644578429930999,0.8346266313728264
2.165,0.9023340921260703,0.30698324622581025,0.8537634061424582
2.46,0.8447714114721409,0.2598211897964499,0.8738230153334418
2.755,0.9188566228630973,0.5502229972546513,0.8856482834131243
3.05,1.0216717472568835,0.4170803194930491,0.8838262333305027
3.345,0.8795530272225699,0.3016250281369577,0.8713303022375054
3.64,0.6387030817699288,0.28451832776628533,0.8581904063249218
3.935,1.0062097900430171,0.4079973550950774,0.8535311974607481
4.23,0.7499575781374778,0.3774622806233789,0.8588152507185436
4.525,0.8478746029811921,0.38482936724804556,0.8678308903547463
4.82,1.017701798519465,0.6269896151805082,0.8714103770444956
5.115,0.8467505685171727,0.27292386387093304,0.8636747158584157
5.41,0.8895119676885482,0.345869925800429,0.8463140295608809
5.705,0.7375397697352691,0.40801926968367297,0.8273150283363653
6.0,0.8125761158624993,0.4515729791455971,0.8153575858323362
