I_bcd,C_mean,C_std,C_smoothed
1,0.8048913249343668,0.3433451491875983,0.8003930718295733
5,0.8066514747655045,0.47853635810824935,0.7977481706730475
9,0.8214719876120012,0.42472706734809246,0.7939087703414072
13,0.6903451366840107,0.3966764217249895,0.7907284533468546
17,0.9001726460307535,0.28336067243391944,0.7895588890537061
21,0.7089738864792694,0.41025238955551857,0.7920443966856748
25,0.8506346325286165,0.39137858868246883,0.8011643750651292
29,0.6519734603042154,0.32442219532698113,0.8194326033251478
33,0.9686907409430157,0.3406278567355923,0.8450610449116653
37,0.8202554351593454,0.3997118747522743,0.8707550065715453
41,0.9491501310106921,0.34632213704949544,0.8869305088715099
45,0.969582227637505,0.32630847720359213,0.8870778656441145
49,0.916082812526436,0.3854494737279505,0.8720359656009493
53,0.763565991668415,0.35823669160197363,0.8500076431326947
57,0.8124148895556307,0.318605121675988,0.8314148006015707
61,0.8302695753632129,0.36399403393595703,0.8225621908684546
65,0.7382860439561676,0.2965582488918017,0.8231059723354776
69,0.8867937940390842,0.40256495160008143,0.8280313047633239
73,0.8890675127855966,0.39955677516599125,0.832207589115262
77,0.7887925210661063,0.4263529344770549,0.8338976023128386
