V,C_mean,C_std,C_smoothed
100.0,0.9804703414739363,0.36859250096240803,0.8620288542245984
155.0,0.7648561889216734,0.3098050003503434,0.8473950208094275
210.0,0.856542549305335,0.35326270345122407,0.8271619097692195
265.0,0.7606180525172268,0.4220620317029487,0.8124887633582291
320.0,0.7121886527668381,0.3897306001627708,0.8088550439221429
375.0,0.8603947859579067,0.47803866136995404,0.813477558351971
430.0,0.9179782065230639,0.4842014485759117,0.8198026232108475
485.0,0.7452070455267906,0.27495855584753864,0.8245241163460183
540.0,0.821682282931698,0.42740032394814254,0.8293305748322015
595.0,0.8274033927421292,0.32594527085423153,0.8361567294816035
650.0,0.8496911007683963,0.3230851581773044,0.8429052040723607
705.0,0.9028882786029058,0.34319812160900226,0.8448007729492549
760.0,0.8493261284400374,0.4318765914780027,0.8389197698402644
815.0,0.8284576880289685,0.42544287640852135,0.8267706537456825
870.0,0.7957057075184527,0.44201369661282464,0.8128692358734224
925.0,0.7768499678739563,0.45144912636512774,0.8012813460289977
980.0,0.7885017738668416,0.40566437497809177,0.7936264165573361
1035.0,0.8370366687613222,0.41701083836371955,0.7898536725661425
1090.0,0.7000590209031166,0.43354444730546654,0.789651633292415
1145.0,0.824486970767485,0.4074880203458371,0.7920247234737661
1200.0,0.808052064826162,0.45077832825448416,0.794472246318342
