F_max,C_mean,C_std,C_smoothed
1.0,0.947151106844205,0.37248750014227305,0.8884471783964729
1.5,0.7986075194641508,0.35338124030981327,0.8884619476662018
2.0,0.9113355217288575,0.36839456676652754,0.8912205942049334
2.5,0.8834185853977411,0.4368297996361727,0.8988588111127855
3.0,0.8949976782865733,0.37382821787004417,0.9096151192891984
3.5,0.9106879738936845,0.35769531981450325,0.9166599782471503
4.0,1.0084511066622759,0.3228297702601461,0.9104215374552834
4.5,1.0068356808288061,0.38301370542070834,0.8854067933080751
5.0,0.8011335789967793,0.2625358954431277,0.8470220290858603
5.5,0.7333806004717107,0.3829365346322815,0.8101446917485884
6.0,0.6862315658643606,0.30828738813204815,0.7884163336885637
6.5,0.7788711481779095,0.44314347214645633,0.7843556119351097
7.0,0.8370984534651497,0.43941965894945545,0.7898214408635469
7.5,0.8485448663834596,0.3713945211501933,0.7950241182475835
8.0,0.7430470654913715,0.3385298505054923,0.7960053786231115
8.5,0.8236426814433534,0.4327380854022072,0.794083381610418
9.0,0.7233735212904795,0.33085865685352117,0.7907463346710947
9.5,0.9043619115205205,0.4571947414007285,0.785439084851545
10.0,0.737316094199981,0.3097097939409921,0.7779537882748273
10.5,0.7257377766558903,0.3258755513075816,0.7704112275237149
11.0,0.7800814290729955,0.4209052977897312,0.7657904853361921
