arrival_tasks,completed_tasks,dropped_tasks,effective_bits,energy_srv,energy_tx,handover,queue_mean,slot,solve_time_s,total_cost
3,3,0,7290585.012587996,4.8000000000000005e-12,0.8940590746954685,0,0.0,0,0.0,0.8940590747002686
3,3,0,4580191.678732491,4.8000000000000005e-12,0.19158441936612242,0,0.0,1,0.0009424686431884766,0.1915844193709224
3,3,0,6646224.035368506,4.8000000000000005e-12,0.6427608993102635,0,0.0,2,0.0,0.6427608993150635
3,3,0,4202573.73076977,4.8000000000000005e-12,0.19090924247370866,0,0.0,3,0.0,0.19090924247850866
3,3,0,8772360.096448895,4.8000000000000005e-12,0.7388463504660834,0,0.0,4,0.0,0.7388463504708834
